timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1691877607947,4939,HTTP Request,200,OK,ThreadLogin 1-1,text,true,,762192,232,40,40,https://www.daraz.com.bd/,1280,0,1199
1691877607947,1298,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-1,text,true,,600,114,40,40,https://daraz.com.bd/,1280,0,1199
1691877609260,3626,HTTP Request-1,200,OK,ThreadLogin 1-1,text,true,,761592,118,40,40,https://www.daraz.com.bd/,385,0,298
1691877608916,4126,HTTP Request,200,OK,ThreadLogin 1-10,text,true,,762167,232,40,40,https://www.daraz.com.bd/,328,0,250
1691877608916,330,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-10,text,true,,600,114,40,40,https://daraz.com.bd/,328,0,250
1691877609262,3780,HTTP Request-1,200,OK,ThreadLogin 1-10,text,true,,761567,118,40,40,https://www.daraz.com.bd/,402,0,326
1691877608012,6550,HTTP Request,200,OK,ThreadLogin 1-3,text,true,,762180,232,40,40,https://www.daraz.com.bd/,1216,0,1130
1691877608012,1233,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-3,text,true,,600,114,40,40,https://daraz.com.bd/,1216,0,1130
1691877609253,5309,HTTP Request-1,200,OK,ThreadLogin 1-3,text,true,,761580,118,40,40,https://www.daraz.com.bd/,429,0,351
1691877608510,6300,HTTP Request,200,OK,ThreadLogin 1-7,text,true,,762176,232,40,40,https://www.daraz.com.bd/,718,0,636
1691877608510,734,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-7,text,true,,600,114,40,40,https://daraz.com.bd/,718,0,636
1691877609253,5557,HTTP Request-1,200,OK,ThreadLogin 1-7,text,true,,761576,118,40,40,https://www.daraz.com.bd/,379,0,297
1691877609304,5733,HTTP Request,200,OK,ThreadLogin 1-13,text,true,,762178,232,40,40,https://www.daraz.com.bd/,317,0,246
1691877609304,317,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-13,text,true,,600,114,40,40,https://daraz.com.bd/,317,0,246
1691877609622,5415,HTTP Request-1,200,OK,ThreadLogin 1-13,text,true,,761578,118,40,40,https://www.daraz.com.bd/,288,0,222
1691877608760,7654,HTTP Request,200,OK,ThreadLogin 1-9,text,true,,762192,232,40,40,https://www.daraz.com.bd/,483,0,407
1691877608760,486,HTTP Request-0,301,Moved Permanently,ThreadLogin 1-9,text,true,,600,114,40,40,https://daraz.com.bd/,483,0,407
1691877609261,7153,HTTP Request-1,200,OK,ThreadLogin 1-9,text,true,,761592,118,40,40,https://www.daraz.com.bd/,384,0,292
